Date,Holiday
2025/01/01,New Year's Day
2025/01/02,Last day of Hanukkah
2025/01/06,Guru Govind Singh Jayanti
2025/01/13,Lohri
2025/01/14,Pongal
2025/01/14,Makar Sankranti
2025/01/14,Hazarat Ali's Birthday
2025/01/26,Republic Day
2025/01/29,Lunar New Year
2025/02/02,Vasant Panchami
2025/02/12,Guru Ravidas Jayanti
2025/02/14,Valentine's Day
2025/02/19,Shivaji Jayanti
2025/02/23,Maharishi Dayanand Saraswati Jayanti
2025/02/26,Maha Shivaratri/Shivaratri
2025/03/02,Ramadan Start (Tentative Date)
2025/03/13,Holika Dahana
2025/03/14,Holi
2025/03/14,Dolyatra
2025/03/20,March Equinox
2025/03/28,Jamat Ul-Vida (Tentative Date)
2025/03/30,Chaitra Sukhladi
2025/03/30,Ugadi
2025/03/30,Gudi Padwa
2025/03/31,Ramzan Id/Eid-ul-Fitar (Tentative Date)
2025/04/06,Rama Navami
2025/04/10,Mahavir Jayanti
2025/04/13,First day of Passover
2025/04/13,Vaisakhi
2025/04/14,Mesadi
2025/04/14,Ambedkar Jayanti
2025/04/15,Bahag Bihu/Vaisakhadi
2025/04/17,Maundy Thursday
2025/04/18,Good Friday
2025/04/20,Easter Day
2025/05/01,International Worker's Day
2025/05/09,Birthday of Rabindranath
2025/05/11,Mothers' Day
2025/05/12,Buddha Purnima/Vesak
2025/06/07,Bakrid/Eid ul-Adha (Tentative Date)
2025/06/15,Fathers' Day
2025/06/21,June Solstice
2025/06/27,Rath Yatra
2025/07/06,Muharram/Ashura (Tentative Date)
2025/07/10,Guru Purnima
2025/08/03,Friendship Day
2025/08/09,Raksha Bandhan (Rakhi)
2025/08/15,Independence Day
2025/08/15,Janmashtami (Smarta)
2025/08/15,Parsi New Year
2025/08/16,Janmashtami
2025/08/27,Ganesh Chaturthi/Vinayaka Chaturthi
2025/09/05,Milad un-Nabi/Id-e-Milad (Tentative Date)
2025/09/05,Onam
2025/09/22,First Day of Sharad Navratri
2025/09/22,September Equinox
2025/09/28,First Day of Durga Puja Festivities
2025/09/29,Maha Saptami
2025/09/30,Maha Ashtami
2025/10/01,Maha Navami
2025/10/02,Mahatma Gandhi Jayanti
2025/10/02,Dussehra
2025/10/07,Maharishi Valmiki Jayanti
2025/10/10,Karaka Chaturthi (Karva Chauth)
2025/10/20,Naraka Chaturdasi
2025/10/20,Diwali/Deepavali
2025/10/22,Govardhan Puja
2025/10/23,Bhai Duj
2025/10/28,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
2025/10/31,Halloween
2025/11/05,Guru Nanak Jayanti
2025/11/24,Guru Tegh Bahadur's Martyrdom Day
2025/12/15,First Day of Hanukkah
2025/12/21,December Solstice
2025/12/22,Last day of Hanukkah
2025/12/24,Christmas Eve
2025/12/25,Christmas
2025/12/31,New Year's Eve
